epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,422.427,0.80846,0.87441,0.30114,0.67024,1.24631,0.893,0.9105,0.93505,0.74401,0.81591,0.83268,0.83662,0.64958,0.86286,0.94459,0.14093,0.51431,1.24313,0.0006338,0.0006338,0.0006338
71,428.404,0.8539,0.86454,0.29252,0.66687,1.30385,0.88667,0.91212,0.93109,0.75428,0.81281,0.83636,0.84049,0.64204,0.83454,0.98285,0.14881,0.48886,1.20675,0.000614,0.000614,0.000614
72,434.264,0.80911,0.84427,0.30358,0.65696,1.23877,0.86895,0.92424,0.92406,0.74507,0.80342,0.85455,0.85051,0.64731,0.82479,0.96459,0.19359,0.49239,1.18175,0.0005942,0.0005942,0.0005942
73,440.087,0.81228,0.81847,0.31953,0.65172,1.23745,0.86804,0.89697,0.90997,0.72503,0.78592,0.81212,0.7952,0.61989,0.86373,0.95755,0.18712,0.54065,1.23014,0.0005744,0.0005744,0.0005744
74,445.953,0.84015,0.67442,0.31681,0.66192,1.28395,0.89058,0.88788,0.9141,0.73627,0.80851,0.80606,0.81075,0.6204,0.87525,0.96687,0.2044,0.52578,1.24752,0.0005546,0.0005546,0.0005546
75,451.816,0.85828,0.87699,0.35308,0.68874,1.30138,0.88241,0.92121,0.94392,0.75095,0.80671,0.85455,0.86397,0.65529,0.87741,1.00443,0.17786,0.49945,1.23242,0.0005348,0.0005348,0.0005348
76,458.096,0.77543,0.78619,0.28587,0.63161,1.24119,0.90606,0.88182,0.93953,0.75729,0.80673,0.83636,0.84711,0.65548,0.82291,0.96631,0.14881,0.49299,1.18693,0.000515,0.000515,0.000515
77,464.029,0.81312,0.70529,0.3027,0.65867,1.24547,0.91567,0.85758,0.91717,0.74837,0.84722,0.79394,0.83868,0.6524,0.80703,0.95421,0.16579,0.50962,1.19027,0.0004952,0.0004952,0.0004952
78,469.926,0.76777,0.72818,0.31423,0.63159,1.22437,0.89871,0.89394,0.94184,0.75887,0.82341,0.79394,0.82626,0.65023,0.81247,1.00933,0.16794,0.48652,1.19836,0.0004754,0.0004754,0.0004754
79,475.759,0.78503,0.74987,0.32484,0.65388,1.24201,0.87913,0.93636,0.94933,0.76584,0.79662,0.84848,0.83309,0.65492,0.81476,0.90738,0.11335,0.49,1.19144,0.0004556,0.0004556,0.0004556
80,481.828,0.79939,0.7589,0.29878,0.63259,1.24392,0.88657,0.9237,0.94743,0.77023,0.81371,0.84545,0.8305,0.65923,0.80864,0.91706,0.11837,0.47574,1.18776,0.0004358,0.0004358,0.0004358
81,488.362,0.76989,0.71017,0.30631,0.60678,1.22236,0.85122,0.93333,0.9417,0.75248,0.75789,0.87273,0.83716,0.66301,0.81305,0.9153,0.10932,0.48586,1.169,0.000416,0.000416,0.000416
82,494.19,0.76643,0.75411,0.2909,0.6436,1.23114,0.9226,0.86667,0.92553,0.74787,0.85887,0.80909,0.84873,0.66997,0.81415,0.87122,0.14211,0.48149,1.17337,0.0003962,0.0003962,0.0003962
83,500.048,0.75883,0.73278,0.29435,0.60046,1.20754,0.9125,0.88485,0.91817,0.74157,0.85313,0.82727,0.84479,0.66811,0.82991,0.89853,0.135,0.49648,1.17893,0.0003764,0.0003764,0.0003764
84,505.923,0.77742,0.68216,0.26712,0.60791,1.24944,0.88856,0.91818,0.93208,0.75618,0.81525,0.84242,0.83064,0.65593,0.82335,0.9238,0.12944,0.48036,1.18281,0.0003566,0.0003566,0.0003566
85,511.882,0.72806,0.71537,0.31239,0.61634,1.22143,0.89381,0.91818,0.92935,0.76313,0.83186,0.85455,0.84817,0.66706,0.7936,0.9134,0.13229,0.48123,1.15372,0.0003368,0.0003368,0.0003368
86,518.008,0.78083,0.68196,0.26422,0.62573,1.23326,0.93791,0.86975,0.9176,0.75215,0.88908,0.82581,0.84985,0.66008,0.81227,0.90869,0.1229,0.5174,1.17561,0.000317,0.000317,0.000317
87,524.03,0.73804,0.64892,0.2722,0.60948,1.21113,0.93182,0.8697,0.91303,0.75319,0.87013,0.81212,0.83587,0.65686,0.80492,0.92131,0.11813,0.52814,1.16295,0.0002972,0.0002972,0.0002972
88,530.022,0.74107,0.7111,0.26654,0.59195,1.21104,0.90364,0.88788,0.92009,0.74127,0.83692,0.82424,0.82501,0.6645,0.81135,0.90904,0.11961,0.49055,1.18018,0.0002774,0.0002774,0.0002774
89,536.013,0.7637,0.76431,0.27065,0.6229,1.23298,0.88824,0.90606,0.9273,0.747,0.83813,0.84725,0.86854,0.68713,0.79499,0.84116,0.1123,0.48414,1.16473,0.0002576,0.0002576,0.0002576
90,541.877,0.74767,0.68156,0.27426,0.62121,1.20208,0.91839,0.87879,0.92867,0.7591,0.85078,0.81818,0.86035,0.67264,0.77328,0.84523,0.09962,0.47042,1.13307,0.0002378,0.0002378,0.0002378
91,551.821,0.73757,0.72646,0.29719,0.79401,1.36955,0.90958,0.88398,0.92553,0.7366,0.8594,0.80303,0.81703,0.64415,0.90399,0.88113,0.0835,0.51471,1.26667,0.000218,0.000218,0.000218
92,557.746,0.66659,0.6942,0.30619,0.56961,1.29765,0.90205,0.89697,0.9271,0.73518,0.84892,0.81734,0.83529,0.64723,0.91835,0.86765,0.10352,0.51749,1.2926,0.0001982,0.0001982,0.0001982
93,563.398,0.65155,0.64557,0.21732,0.50453,1.2418,0.92109,0.88485,0.92911,0.76059,0.86116,0.82727,0.84966,0.6732,0.80399,0.81984,0.10077,0.46766,1.16612,0.0001784,0.0001784,0.0001784
94,569.061,0.71345,0.58504,0.20186,0.50041,1.33696,0.89851,0.91212,0.93365,0.76808,0.84424,0.82424,0.84054,0.67984,0.79769,0.85007,0.09603,0.45572,1.15751,0.0001586,0.0001586,0.0001586
95,574.786,0.65783,0.59855,0.19251,0.46636,1.26214,0.90751,0.90606,0.93215,0.7617,0.82102,0.83406,0.82882,0.68045,0.81335,0.85941,0.09374,0.46568,1.17397,0.0001388,0.0001388,0.0001388
96,580.499,0.62682,0.51226,0.1592,0.42354,1.18267,0.89349,0.91515,0.93576,0.76431,0.8284,0.84848,0.85003,0.68417,0.80512,0.85066,0.09617,0.46645,1.16379,0.000119,0.000119,0.000119
97,586.383,0.67017,0.52676,0.1852,0.46882,1.23688,0.9112,0.90303,0.93801,0.76992,0.84226,0.84138,0.84653,0.68454,0.79259,0.87674,0.09748,0.45826,1.14813,9.92e-05,9.92e-05,9.92e-05
98,592.08,0.63226,0.51997,0.19675,0.42693,1.2194,0.90934,0.90606,0.93961,0.7725,0.83879,0.83636,0.8435,0.68308,0.78729,0.8946,0.09664,0.44643,1.14041,7.94e-05,7.94e-05,7.94e-05
99,597.871,0.63036,0.5643,0.21133,0.45527,1.21457,0.90075,0.90753,0.94058,0.77473,0.82375,0.84545,0.84535,0.6852,0.78599,0.88392,0.09861,0.44777,1.14114,5.96e-05,5.96e-05,5.96e-05
100,603.555,0.62785,0.58717,0.17566,0.41485,1.24679,0.91699,0.89394,0.93921,0.77348,0.82791,0.84848,0.84565,0.68106,0.78858,0.87762,0.09897,0.44843,1.1438,3.98e-05,3.98e-05,3.98e-05
